Date_of_Birth,Gender,Marital_Status,Number_of_Dependents,Monthly_Income,Sources_of_Income,Current_Loans,Debt_to_Income_Ratio,Property_Ownership,Employment_Status,Job_Tenure_Work_Experience,Credit_Score,Loan_Amount_Requested,Loan_Purpose,Desired_Loan_Tenure,Rent_Payment_History,Utility_Bill_Payments,Spending_Patterns,BNPL_Payment_History,Gig_Economy_Income,Behavioral_Data,Loan_Approved
1956-06-13,Female,Married,8,486256,Secondary,No,0.38,Commercial_Rented,Student,0,802,16501567,Business,180,Average,Poor,Aggressive,N/A,No,Negative,0
1972-09-12,Female,Single,1,587630,Multiple,Yes,0.15,Commercial_Owned,Salaried,25,451,22573969,Medical,180,N/A,N/A,Erratic,N/A,No,Very_Positive,1
1996-04-02,Male,Married,4,187918,Secondary,No,0.11,Rented,Self-Employed,27,806,23716916,Wedding,60,Average,Good,Cautious,N/A,No,Very_Negative,1
1994-09-12,Female,Married,9,487348,Investments,Yes,0.24,Joint_Ownership,Salaried,22,712,22644451,Education,360,Good,N/A,Erratic,N/A,No,Very_Negative,1
1982-03-27,Male,Married,10,189623,Investments,Multiple,0.63,Commercial_Rented,Self-Employed,13,581,9622169,Personal,60,Poor,Good,Erratic,Good,No,Neutral,0
1964-06-08,Female,Single,7,732786,Rental_Income,Multiple,0.18,Owned,Government,20,540,29779828,Business,12,Average,Good,Impulsive,N/A,No,Negative,1
1952-06-02,Female,Single,0,718381,Rental_Income,Yes,0.9,Owned,Salaried,23,425,25569852,Medical,120,Poor,N/A,Cautious,Good,No,Positive,0
2000-05-16,Male,Single,8,882076,Pension,Multiple,0.09,Commercial_Owned,Student,0,536,41118367,Travel,48,N/A,Average,Erratic,N/A,Yes,Very_Positive,0
1999-06-21,Male,Married,7,179532,Secondary,Yes,0.77,Commercial_Rented,Salaried,22,362,13757289,Business,60,Average,N/A,Aggressive,Good,Yes,Neutral,0
1974-11-04,Female,Married,10,703053,Pension,Multiple,0.41,Commercial_Rented,Unemployed,0,641,41575068,Home,60,N/A,Average,Consistent,Poor,Yes,Neutral,0
1987-07-23,Male,Married,0,315513,Pension,No,0.87,Rented,Self-Employed,28,393,9234378,Vehicle,12,Poor,Good,Cautious,Average,No,Very_Negative,0
1972-11-22,Male,Married,7,651113,Investments,Yes,0.46,Owned,Self-Employed,23,469,36798712,Travel,84,Good,Average,Aggressive,Average,No,Neutral,1
1968-01-23,Female,Single,0,482148,Primary,Multiple,0.49,Commercial_Owned,Unemployed,0,896,18793041,Personal,36,Good,Average,Aggressive,Average,Yes,Very_Negative,0
1962-06-24,Male,Married,2,497410,Pension,Yes,0.87,Joint_Ownership,Government,1,545,13584296,Home,300,N/A,Poor,Impulsive,Good,No,Very_Positive,1
1955-01-11,Female,Single,2,184672,Secondary,No,0.46,Joint_Ownership,Retired,0,689,39596188,Home,36,Poor,Average,Impulsive,N/A,No,Very_Negative,0
1981-08-14,Female,Married,3,365200,Pension,Yes,0.18,Joint_Ownership,Salaried,19,470,27303509,Personal,120,N/A,Average,Erratic,Good,Yes,Negative,0
1964-12-19,Female,Single,0,659468,Pension,Yes,0.51,Commercial_Rented,Salaried,3,819,26384403,Debt_Consolidation,72,Good,Poor,Aggressive,Average,No,Very_Positive,1
2000-01-11,Male,Single,8,659546,Secondary,Multiple,0.44,Commercial_Owned,Unemployed,0,367,21369933,Medical,96,Average,Average,Cautious,N/A,No,Neutral,0
1988-07-11,Male,Married,2,630416,Primary,Yes,0.83,Owned,Retired,0,506,9562344,Vehicle,108,Poor,Poor,Impulsive,Good,No,Neutral,0
1963-03-11,Female,Single,7,619577,Primary,Multiple,0.6,Joint_Ownership,Salaried,35,579,34268486,Education,360,N/A,N/A,Aggressive,Good,Yes,Neutral,0
2003-11-19,Male,Married,1,650912,Pension,No,0.05,Rented,Salaried,19,854,41104768,Wedding,72,N/A,N/A,Erratic,Poor,No,Very_Positive,1
1977-04-16,Male,Single,10,84255,Secondary,Yes,0.59,Commercial_Owned,Government,30,719,30758120,Debt_Consolidation,60,Good,Good,Cautious,Good,No,Very_Negative,1
2002-05-23,Female,Married,10,404123,Primary,Yes,0.59,Rented,Self-Employed,5,688,45749314,Travel,120,Poor,N/A,Aggressive,N/A,Yes,Very_Positive,0
1977-06-18,Male,Married,5,650468,Pension,No,0.82,Commercial_Rented,Salaried,35,416,26503849,Business,360,Average,Good,Aggressive,N/A,Yes,Very_Negative,0
1984-11-05,Female,Married,6,905329,Primary,No,0.52,Commercial_Owned,Retired,0,522,31307043,Travel,60,Poor,Poor,Erratic,N/A,No,Very_Positive,0
2004-01-26,Male,Single,10,551516,Pension,Yes,0.82,Owned,Government,30,841,42197778,Vehicle,108,N/A,N/A,Aggressive,Good,Yes,Negative,1
